length,size,file_num,cache,BHR,OHR
1000,10485760,155,lfu,0.38865662,0.49200001
1000,10485760,155,lru,0.38871449,0.472
1000,10485760,156,lfu,0.48457804,0.59500003
1000,10485760,156,lru,0.50454879,0.53600001
1000,10485760,157,lfu,0.48007527,0.76499999
1000,10485760,157,lru,0.47815746,0.75099999
1000,10485760,158,lfu,0.47156116,0.63700002
1000,10485760,158,lru,0.46776202,0.62099999
1000,10485760,159,lfu,0.6724537,0.60600001
1000,10485760,159,lru,0.59737813,0.56400001
1000,10485760,160,lfu,0.33466688,0.477
1000,10485760,160,lru,0.33442968,0.463
1000,10485760,161,lfu,0.42273602,0.82999998
1000,10485760,161,lru,0.41980198,0.82499999
1000,10485760,162,lfu,0.34946817,0.479
1000,10485760,162,lru,0.3580794,0.46700001
1000,10485760,163,lfu,0.30175591,0.52700001
1000,10485760,163,lru,0.2982491,0.49000001
1000,10485760,164,lfu,0.34991944,0.55599999
1000,10485760,164,lru,0.34802175,0.52700001
1000,10485760,165,lfu,0.50305575,0.56800002
1000,10485760,165,lru,0.50628006,0.55199999
1000,10485760,166,lfu,0.46361053,0.51499999
1000,10485760,166,lru,0.46346056,0.51200002
1000,10485760,167,lfu,0.60885727,0.70300001
1000,10485760,167,lru,0.60610062,0.68800002
1000,10485760,168,lfu,0.37486425,0.49599999
1000,10485760,168,lru,0.3712202,0.484
1000,10485760,169,lfu,0.2407137,0.583
1000,10485760,169,lru,0.24208152,0.56999999
1000,10485760,170,lfu,0.40784591,0.49399999
1000,10485760,170,lru,0.4093143,0.49000001
1000,10485760,171,lfu,0.40782827,0.505
1000,10485760,171,lru,0.40302798,0.47400001
1000,10485760,172,lfu,0.75576377,0.63800001
1000,10485760,172,lru,0.73189718,0.62199998
1000,10485760,173,lfu,0.47095069,0.61400002
1000,10485760,173,lru,0.45892012,0.55299997
1000,10485760,174,lfu,0.47644499,0.65200001
1000,10485760,174,lru,0.47120824,0.62599999
1000,10485760,175,lfu,0.98355126,0.95999998
1000,10485760,175,lru,0.98355126,0.95999998
1000,10485760,176,lfu,0.64182562,0.80500001
1000,10485760,176,lru,0.64437026,0.79100001
1000,10485760,177,lfu,0.37649247,0.53899997
1000,10485760,177,lru,0.3739706,0.51899999
1000,10485760,178,lfu,0.65023887,0.68300003
1000,10485760,178,lru,0.59808969,0.67199999
1000,10485760,179,lfu,0.42610115,0.55500001
1000,10485760,179,lru,0.42248285,0.54299998
1000,10485760,180,lfu,0.44049323,0.59899998
1000,10485760,180,lru,0.43874887,0.57800001
1000,10485760,181,lfu,0.3413251,0.52600002
1000,10485760,181,lru,0.34017718,0.51099998
1000,10485760,182,lfu,0.43029216,0.56800002
1000,10485760,182,lru,0.42840126,0.56099999
1000,10485760,183,lfu,0.38719484,0.51999998
1000,10485760,183,lru,0.38404676,0.5
1000,10485760,184,lfu,0.29223415,0.54699999
1000,10485760,184,lru,0.28738984,0.50800002
1000,10485760,185,lfu,0.37502658,0.56
1000,10485760,185,lru,0.36268052,0.51700002
1000,10485760,186,lfu,0.66899335,0.73100001
1000,10485760,186,lru,0.6709311,0.722
1000,10485760,187,lfu,0.43241045,0.56599998
1000,10485760,187,lru,0.42484257,0.52200001
1000,10485760,188,lfu,0.42705688,0.542
1000,10485760,188,lru,0.41694534,0.50300002
