length,cache size,datatype,red. length,neigh. num,train score,test score
1000,134217728,['size' 'time'],5,1,1.0,0.2757142857142857
1000,134217728,['size' 'time'],5,2,1.0,0.26571428571428574
1000,134217728,['size' 'time'],5,3,1.0,0.26571428571428574
1000,134217728,['size' 'time'],5,4,0.9966666666666667,0.2671428571428571
1000,134217728,['size' 'time'],5,5,1.0,0.26285714285714284
1000,134217728,['size' 'time'],5,6,0.9966666666666667,0.26
1000,134217728,['size' 'time'],5,7,1.0,0.2571428571428571
1000,134217728,['size' 'time'],5,8,0.9933333333333333,0.2671428571428571
1000,134217728,['size' 'time'],5,9,0.9933333333333333,0.26285714285714284
1000,134217728,['size' 'time'],5,10,0.9966666666666667,0.26285714285714284
1000,268435456,['size' 'time'],5,1,1.0,0.5671428571428572
1000,268435456,['size' 'time'],5,2,1.0,0.61
1000,268435456,['size' 'time'],5,3,1.0,0.5728571428571428
1000,268435456,['size' 'time'],5,4,1.0,0.5914285714285714
1000,268435456,['size' 'time'],5,5,1.0,0.59
1000,268435456,['size' 'time'],5,6,1.0,0.6342857142857142
1000,268435456,['size' 'time'],5,7,1.0,0.6271428571428571
1000,268435456,['size' 'time'],5,8,0.9866666666666667,0.6857142857142857
1000,268435456,['size' 'time'],5,9,0.9866666666666667,0.68
1000,268435456,['size' 'time'],5,10,0.9866666666666667,0.6828571428571428
1000,10485760,['size'],5,1,1.0,0.2642857142857143
1000,10485760,['size'],5,2,1.0,0.27285714285714285
1000,10485760,['size'],5,3,0.9966666666666667,0.3057142857142857
1000,10485760,['size'],5,4,0.99,0.30714285714285716
1000,10485760,['size'],5,5,0.9866666666666667,0.38142857142857145
1000,10485760,['size'],5,6,0.9866666666666667,0.3028571428571429
1000,10485760,['size'],5,7,0.9766666666666667,0.33
1000,10485760,['size'],5,8,0.9766666666666667,0.32
1000,10485760,['size'],5,9,0.98,0.39571428571428574
1000,10485760,['size'],5,10,0.9766666666666667,0.3657142857142857
1000,33554432,['size'],5,1,1.0,0.2857142857142857
1000,33554432,['size'],5,2,1.0,0.29285714285714287
1000,33554432,['size'],5,3,0.9933333333333333,0.41285714285714287
1000,33554432,['size'],5,4,0.9966666666666667,0.3985714285714286
1000,33554432,['size'],5,5,0.9933333333333333,0.46714285714285714
1000,33554432,['size'],5,6,0.9933333333333333,0.4785714285714286
1000,33554432,['size'],5,7,0.9933333333333333,0.47
1000,33554432,['size'],5,8,0.9933333333333333,0.47285714285714286
1000,33554432,['size'],5,9,0.99,0.46714285714285714
1000,33554432,['size'],5,10,0.99,0.46714285714285714
1000,67108864,['size'],5,1,1.0,0.35428571428571426
1000,67108864,['size'],5,2,0.9933333333333333,0.36428571428571427
1000,67108864,['size'],5,3,0.9866666666666667,0.5157142857142857
1000,67108864,['size'],5,4,0.99,0.5028571428571429
1000,67108864,['size'],5,5,0.9866666666666667,0.5314285714285715
1000,67108864,['size'],5,6,0.9866666666666667,0.5042857142857143
1000,67108864,['size'],5,7,0.9833333333333333,0.5257142857142857
1000,67108864,['size'],5,8,0.9833333333333333,0.5171428571428571
1000,67108864,['size'],5,9,0.9833333333333333,0.5185714285714286
1000,67108864,['size'],5,10,0.98,0.5228571428571429
1000,134217728,['size'],5,1,1.0,0.2914285714285714
1000,134217728,['size'],5,2,0.9966666666666667,0.2785714285714286
1000,134217728,['size'],5,3,0.9966666666666667,0.2814285714285714
1000,134217728,['size'],5,4,1.0,0.2785714285714286
1000,134217728,['size'],5,5,0.9933333333333333,0.2885714285714286
1000,134217728,['size'],5,6,0.9966666666666667,0.26857142857142857
1000,134217728,['size'],5,7,0.9866666666666667,0.29
1000,134217728,['size'],5,8,0.9866666666666667,0.27714285714285714
1000,134217728,['size'],5,9,0.9833333333333333,0.33
1000,134217728,['size'],5,10,0.9833333333333333,0.32571428571428573
1000,268435456,['size'],5,1,1.0,0.5242857142857142
1000,268435456,['size'],5,2,1.0,0.5457142857142857
1000,268435456,['size'],5,3,1.0,0.5085714285714286
1000,268435456,['size'],5,4,1.0,0.52
1000,268435456,['size'],5,5,1.0,0.5157142857142857
1000,268435456,['size'],5,6,1.0,0.5414285714285715
1000,268435456,['size'],5,7,1.0,0.5357142857142857
1000,268435456,['size'],5,8,0.99,0.6528571428571428
1000,268435456,['size'],5,9,0.99,0.6642857142857143
1000,268435456,['size'],5,10,0.9866666666666667,0.6642857142857143
10000,10485760,['size' 'time'],5,1,1.0,0.5071428571428571
10000,10485760,['size' 'time'],5,2,0.9866666666666667,0.5485714285714286
10000,10485760,['size' 'time'],5,3,0.9766666666666667,0.5742857142857143
10000,10485760,['size' 'time'],5,4,0.9633333333333334,0.5857142857142857
10000,10485760,['size' 'time'],5,5,0.96,0.5914285714285714
10000,10485760,['size' 'time'],5,6,0.96,0.5842857142857143
10000,10485760,['size' 'time'],5,7,0.93,0.5885714285714285
10000,10485760,['size' 'time'],5,8,0.9233333333333333,0.61
10000,10485760,['size' 'time'],5,9,0.9066666666666666,0.6085714285714285
10000,10485760,['size' 'time'],5,10,0.91,0.62
10000,33554432,['size' 'time'],5,1,1.0,0.4785714285714286
10000,33554432,['size' 'time'],5,2,0.9666666666666667,0.47714285714285715
10000,33554432,['size' 'time'],5,3,0.9666666666666667,0.49714285714285716
10000,33554432,['size' 'time'],5,4,0.9366666666666666,0.5357142857142857
10000,33554432,['size' 'time'],5,5,0.9233333333333333,0.5642857142857143
10000,33554432,['size' 'time'],5,6,0.91,0.5771428571428572
10000,33554432,['size' 'time'],5,7,0.8833333333333333,0.61
10000,33554432,['size' 'time'],5,8,0.8866666666666667,0.6171428571428571
10000,33554432,['size' 'time'],5,9,0.87,0.6457142857142857
10000,33554432,['size' 'time'],5,10,0.87,0.6457142857142857
10000,67108864,['size' 'time'],5,1,1.0,0.49857142857142855
10000,67108864,['size' 'time'],5,2,0.9333333333333333,0.48428571428571426
10000,67108864,['size' 'time'],5,3,0.9433333333333334,0.48857142857142855
10000,67108864,['size' 'time'],5,4,0.9233333333333333,0.48142857142857143
10000,67108864,['size' 'time'],5,5,0.9,0.48428571428571426
10000,67108864,['size' 'time'],5,6,0.8666666666666667,0.48
10000,67108864,['size' 'time'],5,7,0.85,0.4828571428571429
10000,67108864,['size' 'time'],5,8,0.8433333333333334,0.4942857142857143
10000,67108864,['size' 'time'],5,9,0.82,0.48
10000,67108864,['size' 'time'],5,10,0.81,0.49142857142857144
10000,134217728,['size' 'time'],5,1,1.0,0.37
10000,134217728,['size' 'time'],5,2,0.9633333333333334,0.37
10000,134217728,['size' 'time'],5,3,0.92,0.36142857142857143
10000,134217728,['size' 'time'],5,4,0.91,0.36714285714285716
