length,size,datatype,NeighNum,test_score,dim,NN_test_score
1000,10485760,['size'],9,0.7185714285714285,100,0.4214285714285714
1000,10485760,['size'],10,0.72,5,0.4
1000,10485760,['size'],10,0.72,10,0.4357142857142857
1000,10485760,['size'],10,0.72,20,0.5014285714285714
1000,10485760,['size'],10,0.72,100,0.42
1000,10485760,['time'],1,0.6042857142857143,5,0.5928571428571429
1000,10485760,['time'],1,0.6042857142857143,10,0.5785714285714286
1000,10485760,['time'],1,0.6042857142857143,20,0.5971428571428572
1000,10485760,['time'],1,0.6042857142857143,100,0.5985714285714285
1000,10485760,['time'],2,0.5542857142857143,5,0.54
1000,10485760,['time'],2,0.5542857142857143,10,0.54
1000,10485760,['time'],2,0.5542857142857143,20,0.5371428571428571
1000,10485760,['time'],2,0.5542857142857143,100,0.5414285714285715
1000,10485760,['time'],3,0.6528571428571428,5,0.6471428571428571
1000,10485760,['time'],3,0.6528571428571428,10,0.64
1000,10485760,['time'],3,0.6528571428571428,20,0.6385714285714286
1000,10485760,['time'],3,0.6528571428571428,100,0.6085714285714285
1000,10485760,['time'],4,0.6342857142857142,5,0.6328571428571429
1000,10485760,['time'],4,0.6342857142857142,10,0.61
1000,10485760,['time'],4,0.6342857142857142,20,0.61
1000,10485760,['time'],4,0.6342857142857142,100,0.5971428571428572
1000,10485760,['time'],5,0.66,5,0.6642857142857143
1000,10485760,['time'],5,0.66,10,0.6457142857142857
1000,10485760,['time'],5,0.66,20,0.6728571428571428
1000,10485760,['time'],5,0.66,100,0.6514285714285715
1000,10485760,['time'],6,0.6628571428571428,5,0.6585714285714286
1000,10485760,['time'],6,0.6628571428571428,10,0.63
1000,10485760,['time'],6,0.6628571428571428,20,0.6571428571428571
1000,10485760,['time'],6,0.6628571428571428,100,0.6442857142857142
1000,10485760,['time'],7,0.6671428571428571,5,0.6785714285714286
1000,10485760,['time'],7,0.6671428571428571,10,0.66
1000,10485760,['time'],7,0.6671428571428571,20,0.6828571428571428
1000,10485760,['time'],7,0.6671428571428571,100,0.6628571428571428
1000,10485760,['time'],8,0.6671428571428571,5,0.6714285714285714
1000,10485760,['time'],8,0.6671428571428571,10,0.6642857142857143
1000,10485760,['time'],8,0.6671428571428571,20,0.6885714285714286
1000,10485760,['time'],8,0.6671428571428571,100,0.6685714285714286
1000,10485760,['time'],9,0.6742857142857143,5,0.7028571428571428
1000,10485760,['time'],9,0.6742857142857143,10,0.68
1000,10485760,['time'],9,0.6742857142857143,20,0.6842857142857143
1000,10485760,['time'],9,0.6742857142857143,100,0.6814285714285714
1000,10485760,['time'],10,0.68,5,0.7014285714285714
1000,10485760,['time'],10,0.68,10,0.6928571428571428
1000,10485760,['time'],10,0.68,20,0.6785714285714286
1000,10485760,['time'],10,0.68,100,0.6742857142857143
1000,33554432,['size' 'time'],1,0.5085714285714286,5,0.37857142857142856
1000,33554432,['size' 'time'],1,0.5085714285714286,10,0.4342857142857143
1000,33554432,['size' 'time'],1,0.5085714285714286,20,0.4528571428571429
1000,33554432,['size' 'time'],1,0.5085714285714286,100,0.31
1000,33554432,['size' 'time'],2,0.4185714285714286,5,0.4057142857142857
1000,33554432,['size' 'time'],2,0.4185714285714286,10,0.43142857142857133
1000,33554432,['size' 'time'],2,0.4185714285714286,20,0.4471428571428571
1000,33554432,['size' 'time'],2,0.4185714285714286,100,0.31142857142857144
1000,33554432,['size' 'time'],3,0.6042857142857143,5,0.4142857142857143
1000,33554432,['size' 'time'],3,0.6042857142857143,10,0.4471428571428571
1000,33554432,['size' 'time'],3,0.6042857142857143,20,0.4842857142857143
1000,33554432,['size' 'time'],3,0.6042857142857143,100,0.31857142857142856
1000,33554432,['size' 'time'],4,0.56,5,0.4171428571428572
1000,33554432,['size' 'time'],4,0.56,10,0.44142857142857145
1000,33554432,['size' 'time'],4,0.56,20,0.4885714285714286
1000,33554432,['size' 'time'],4,0.56,100,0.3157142857142857
1000,33554432,['size' 'time'],5,0.6828571428571428,5,0.4185714285714286
1000,33554432,['size' 'time'],5,0.6828571428571428,10,0.4614285714285714
1000,33554432,['size' 'time'],5,0.6828571428571428,20,0.5014285714285714
1000,33554432,['size' 'time'],5,0.6828571428571428,100,0.3357142857142857
1000,33554432,['size' 'time'],6,0.6357142857142857,5,0.4142857142857143
1000,33554432,['size' 'time'],6,0.6357142857142857,10,0.4514285714285714
1000,33554432,['size' 'time'],6,0.6357142857142857,20,0.5028571428571429
1000,33554432,['size' 'time'],6,0.6357142857142857,100,0.3385714285714286
1000,33554432,['size' 'time'],7,0.69,5,0.4142857142857143
1000,33554432,['size' 'time'],7,0.69,10,0.4557142857142858
1000,33554432,['size' 'time'],7,0.69,20,0.51
1000,33554432,['size' 'time'],7,0.69,100,0.3414285714285714
1000,33554432,['size' 'time'],8,0.6671428571428571,5,0.4185714285714286
1000,33554432,['size' 'time'],8,0.6671428571428571,10,0.46
1000,33554432,['size' 'time'],8,0.6671428571428571,20,0.5114285714285715
1000,33554432,['size' 'time'],8,0.6671428571428571,100,0.33714285714285713
1000,33554432,['size' 'time'],9,0.7014285714285714,5,0.42
1000,33554432,['size' 'time'],9,0.7014285714285714,10,0.4714285714285714
1000,33554432,['size' 'time'],9,0.7014285714285714,20,0.52
1000,33554432,['size' 'time'],9,0.7014285714285714,100,0.3357142857142857
1000,33554432,['size' 'time'],10,0.6871428571428572,5,0.4185714285714286
1000,33554432,['size' 'time'],10,0.6871428571428572,10,0.4685714285714286
1000,33554432,['size' 'time'],10,0.6871428571428572,20,0.5185714285714286
1000,33554432,['size' 'time'],10,0.6871428571428572,100,0.3342857142857143
1000,33554432,['size'],1,0.5914285714285714,5,0.4557142857142858
1000,33554432,['size'],1,0.5914285714285714,10,0.42857142857142855
1000,33554432,['size'],1,0.5914285714285714,20,0.37142857142857133
1000,33554432,['size'],1,0.5914285714285714,100,0.3142857142857143
1000,33554432,['size'],2,0.45,5,0.4471428571428571
1000,33554432,['size'],2,0.45,10,0.42
1000,33554432,['size'],2,0.45,20,0.3528571428571429
1000,33554432,['size'],2,0.45,100,0.3171428571428571
1000,33554432,['size'],3,0.6242857142857143,5,0.4714285714285714
1000,33554432,['size'],3,0.6242857142857143,10,0.4514285714285714
1000,33554432,['size'],3,0.6242857142857143,20,0.37857142857142856
1000,33554432,['size'],3,0.6242857142857143,100,0.32857142857142857
