length,size,datatype,metric,NeighNum,res_train (mean),res_test (mean),res_train,res_test,train_nums,test_nums,pred_nums
1000,10485760,['size'],braycurtis,1,1.0,0.6928571428571428,300,485,[ 74 213  13],[163 503  34],[ 12 473   0]
1000,10485760,['size'],braycurtis,2,0.9366666666666666,0.6771428571428572,281,474,[ 74 213  13],[163 503  34],[ 23 451   0]
1000,10485760,['size'],braycurtis,3,0.7433333333333333,0.7128571428571429,223,499,[ 74 213  13],[163 503  34],[  3 496   0]
1000,10485760,['size'],braycurtis,4,0.7866666666666666,0.7014285714285714,236,491,[ 74 213  13],[163 503  34],[  3 488   0]
1000,10485760,['size'],braycurtis,5,0.73,0.71,219,497,[ 74 213  13],[163 503  34],[  0 497   0]
1000,10485760,['size'],braycurtis,6,0.7333333333333333,0.7028571428571428,220,492,[ 74 213  13],[163 503  34],[  1 491   0]
1000,10485760,['size'],braycurtis,7,0.7166666666666667,0.7071428571428572,215,495,[ 74 213  13],[163 503  34],[  0 495   0]
1000,10485760,['size'],braycurtis,8,0.7233333333333334,0.7042857142857143,217,493,[ 74 213  13],[163 503  34],[  1 492   0]
1000,10485760,['size'],braycurtis,9,0.7166666666666667,0.7085714285714285,215,496,[ 74 213  13],[163 503  34],[  1 495   0]
1000,10485760,['size'],braycurtis,10,0.72,0.7071428571428572,216,495,[ 74 213  13],[163 503  34],[  1 494   0]
1000,10485760,['size'],canberra,1,1.0,0.69,300,483,[ 74 213  13],[163 503  34],[  6 475   2]
1000,10485760,['size'],canberra,2,0.93,0.65,279,455,[ 74 213  13],[163 503  34],[ 26 429   0]
1000,10485760,['size'],canberra,3,0.7366666666666667,0.7057142857142857,221,494,[ 74 213  13],[163 503  34],[  9 485   0]
1000,10485760,['size'],canberra,4,0.7433333333333333,0.6914285714285714,223,484,[ 74 213  13],[163 503  34],[  7 477   0]
1000,10485760,['size'],canberra,5,0.7166666666666667,0.7128571428571429,215,499,[ 74 213  13],[163 503  34],[  8 491   0]
1000,10485760,['size'],canberra,6,0.7266666666666667,0.7057142857142857,218,494,[ 74 213  13],[163 503  34],[  7 487   0]
