length,size,datatype,NeighNum,test_score,dim,NN_test_score
1000,10485760,['size'],7,0.7157142857142857,10,0.4657142857142857
1000,10485760,['size'],7,0.7157142857142857,20,0.5214285714285715
1000,10485760,['size'],8,0.7185714285714285,5,0.3057142857142857
1000,10485760,['size'],8,0.7185714285714285,10,0.4528571428571429
1000,10485760,['size'],8,0.7185714285714285,20,0.4642857142857143
1000,10485760,['size'],9,0.7185714285714285,5,0.3528571428571429
1000,10485760,['size'],9,0.7185714285714285,10,0.4928571428571429
1000,10485760,['size'],9,0.7185714285714285,20,0.5914285714285714
1000,10485760,['size'],10,0.7185714285714285,5,0.3271428571428571
1000,10485760,['size'],10,0.7185714285714285,10,0.44
1000,10485760,['size'],10,0.7185714285714285,20,0.5457142857142857
1000,33554432,['size' 'time'],1,0.4928571428571429,5,0.2814285714285714
1000,33554432,['size' 'time'],1,0.4928571428571429,10,0.31857142857142856
1000,33554432,['size' 'time'],1,0.4928571428571429,20,0.2714285714285714
1000,33554432,['size' 'time'],2,0.3157142857142857,5,0.28
1000,33554432,['size' 'time'],2,0.3157142857142857,10,0.32142857142857145
1000,33554432,['size' 'time'],2,0.3157142857142857,20,0.26857142857142857
1000,33554432,['size' 'time'],3,0.43142857142857133,5,0.2957142857142857
1000,33554432,['size' 'time'],3,0.43142857142857133,10,0.3857142857142857
1000,33554432,['size' 'time'],3,0.43142857142857133,20,0.31142857142857144
1000,33554432,['size' 'time'],4,0.32,5,0.2857142857142857
1000,33554432,['size' 'time'],4,0.32,10,0.3842857142857143
1000,33554432,['size' 'time'],4,0.32,20,0.3042857142857143
1000,33554432,['size' 'time'],5,0.51,5,0.3971428571428571
1000,33554432,['size' 'time'],5,0.51,10,0.5542857142857143
1000,33554432,['size' 'time'],5,0.51,20,0.5085714285714286
1000,33554432,['size' 'time'],6,0.4257142857142857,5,0.3628571428571429
1000,33554432,['size' 'time'],6,0.4257142857142857,10,0.5571428571428572
1000,33554432,['size' 'time'],6,0.4257142857142857,20,0.5457142857142857
1000,33554432,['size' 'time'],7,0.5471428571428572,5,0.4057142857142857
1000,33554432,['size' 'time'],7,0.5471428571428572,10,0.56
1000,33554432,['size' 'time'],7,0.5471428571428572,20,0.5757142857142857
1000,33554432,['size' 'time'],8,0.4585714285714286,5,0.3457142857142857
1000,33554432,['size' 'time'],8,0.4585714285714286,10,0.5371428571428571
1000,33554432,['size' 'time'],8,0.4585714285714286,20,0.56
1000,33554432,['size' 'time'],9,0.7,5,0.34714285714285714
1000,33554432,['size' 'time'],9,0.7,10,0.5514285714285714
1000,33554432,['size' 'time'],9,0.7,20,0.5585714285714286
1000,33554432,['size' 'time'],10,0.69,5,0.3257142857142857
1000,33554432,['size' 'time'],10,0.69,10,0.5442857142857143
1000,33554432,['size' 'time'],10,0.69,20,0.5657142857142857
1000,33554432,['size'],1,0.4928571428571429,5,0.23285714285714285
1000,33554432,['size'],1,0.4928571428571429,10,0.2714285714285714
1000,33554432,['size'],1,0.4928571428571429,20,0.25142857142857145
1000,33554432,['size'],2,0.3157142857142857,5,0.2457142857142857
1000,33554432,['size'],2,0.3157142857142857,10,0.2842857142857143
1000,33554432,['size'],2,0.3157142857142857,20,0.2557142857142857
1000,33554432,['size'],3,0.43142857142857133,5,0.33714285714285713
1000,33554432,['size'],3,0.43142857142857133,10,0.39571428571428574
1000,33554432,['size'],3,0.43142857142857133,20,0.34
1000,33554432,['size'],4,0.32,5,0.3171428571428571
1000,33554432,['size'],4,0.32,10,0.35714285714285715
1000,33554432,['size'],4,0.32,20,0.2914285714285714
1000,33554432,['size'],5,0.51,5,0.4071428571428571
1000,33554432,['size'],5,0.51,10,0.4985714285714286
1000,33554432,['size'],5,0.51,20,0.5114285714285715
1000,33554432,['size'],6,0.4257142857142857,5,0.41
