length,cache size,datatype,red. length,neigh. num,train score,test score
1000,167772160,['size'],5,4,0.9633333333333334,0.5328571428571428
1000,167772160,['size'],5,5,0.9633333333333334,0.54
1000,167772160,['size'],5,6,0.9633333333333334,0.54
1000,167772160,['size'],5,7,0.9633333333333334,0.54
1000,167772160,['size'],5,8,0.9633333333333334,0.5457142857142857
1000,167772160,['size'],5,9,0.9633333333333334,0.5428571428571428
1000,167772160,['size'],5,10,0.9633333333333334,0.5457142857142857
1000,201326592,['size'],5,1,1.0,0.5014285714285714
1000,201326592,['size'],5,2,0.9933333333333333,0.51
1000,201326592,['size'],5,3,0.9933333333333333,0.5085714285714286
1000,201326592,['size'],5,4,0.9833333333333333,0.5114285714285715
1000,201326592,['size'],5,5,0.9833333333333333,0.5114285714285715
1000,201326592,['size'],5,6,0.98,0.52
1000,201326592,['size'],5,7,0.98,0.5185714285714286
1000,201326592,['size'],5,8,0.98,0.5185714285714286
1000,201326592,['size'],5,9,0.98,0.5171428571428571
1000,201326592,['size'],5,10,0.98,0.5228571428571429
1000,234881024,['size'],5,1,1.0,0.4714285714285714
1000,234881024,['size'],5,2,0.9833333333333333,0.5157142857142857
1000,234881024,['size'],5,3,0.9833333333333333,0.5128571428571429
1000,234881024,['size'],5,4,0.9833333333333333,0.49857142857142855
1000,234881024,['size'],5,5,0.9833333333333333,0.4928571428571429
1000,234881024,['size'],5,6,0.9733333333333334,0.48857142857142855
1000,234881024,['size'],5,7,0.9733333333333334,0.4857142857142857
1000,234881024,['size'],5,8,0.9733333333333334,0.4928571428571429
1000,234881024,['size'],5,9,0.9733333333333334,0.49857142857142855
1000,234881024,['size'],5,10,0.9733333333333334,0.4957142857142857
1000,268435456,['size'],5,1,1.0,0.6357142857142857
1000,268435456,['size'],5,2,0.9866666666666667,0.6657142857142857
1000,268435456,['size'],5,3,0.9866666666666667,0.6542857142857142
1000,268435456,['size'],5,4,0.9866666666666667,0.6628571428571428
1000,268435456,['size'],5,5,0.9866666666666667,0.6614285714285715
1000,268435456,['size'],5,6,0.9866666666666667,0.6614285714285715
1000,268435456,['size'],5,7,0.9866666666666667,0.6585714285714286
1000,268435456,['size'],5,8,0.9866666666666667,0.6628571428571428
1000,268435456,['size'],5,9,0.9866666666666667,0.6585714285714286
1000,268435456,['size'],5,10,0.9866666666666667,0.67
1000,536870912,['size'],5,1,1.0,1.0
1000,536870912,['size'],5,2,1.0,1.0
1000,536870912,['size'],5,3,1.0,1.0
1000,536870912,['size'],5,4,1.0,1.0
1000,536870912,['size'],5,5,1.0,1.0
1000,536870912,['size'],5,6,1.0,1.0
1000,536870912,['size'],5,7,1.0,1.0
1000,536870912,['size'],5,8,1.0,1.0
1000,536870912,['size'],5,9,1.0,1.0
1000,536870912,['size'],5,10,1.0,1.0
1000,1073741824,['size'],5,1,1.0,1.0
1000,1073741824,['size'],5,2,1.0,1.0
1000,1073741824,['size'],5,3,1.0,1.0
1000,1073741824,['size'],5,4,1.0,1.0
1000,1073741824,['size'],5,5,1.0,1.0
1000,1073741824,['size'],5,6,1.0,1.0
1000,1073741824,['size'],5,7,1.0,1.0
1000,1073741824,['size'],5,8,1.0,1.0
1000,1073741824,['size'],5,9,1.0,1.0
1000,1073741824,['size'],5,10,1.0,1.0
1000,2147483648,['size'],5,1,1.0,1.0
